,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510
A1,,3.035900116,2.292999983,2.286999941,2.969899893,3.842700005,3.9921,3.979500055,3.966500044,3.915400028,3.988100052,2.924999952,2.265300035,2.097100019,2.058599949,1.906000018,1.650300026,1.360999942,1.15989995,0.9304999709,0.7200000286,0.5710999966,0.4359999895,0.3305999935,0.2728999853,0.1994999945,0.132100001,0.08039999753,0.04769999906,0.03379999846,0.03020000085,0.02879999951,0.02840000018,0.02789999917,0.02789999917,0.02769999951,0.02759999968,0.02740000002,0.02730000019,0.02720000036,0.02720000036,0.0270000007,0.02690000087,0.02690000087,0.02669999935,0.02669999935,0.02649999969,0.02630000003,0.02639999986,0.02630000003,0.0262000002,0.02649999969,0.02639999986,0.0262000002,0.02610000037,0.02610000037,0.02610000037
A2,,3.249000072,2.396600008,2.384799957,3.062599897,3.965500116,,,,,,2.998600006,2.360599995,2.141900063,2.057699919,1.877699971,1.600000024,1.334599972,1.099599957,0.8708000183,0.7017999887,0.5576000214,0.4253000021,0.3228000104,0.2671000063,0.1972000003,0.1339000016,0.0856000036,0.05620000139,0.04569999874,0.04470000044,0.04639999941,0.04960000142,0.05359999835,0.05790000036,0.06199999899,0.06560000032,0.070600003,0.07410000265,0.07680000365,0.08030000329,0.08309999853,0.08550000191,0.08739999682,0.0896999985,0.09160000086,0.09459999949,0.09759999812,0.1009000018,0.1030000001,0.1045999974,0.1054999977,0.1055999994,0.1063999981,0.1080000028,0.1094999984,0.1105000004
A3,,3.211199999,2.300299883,2.315500021,2.98149991,3.917399883,,,,,,2.922399998,2.306099892,2.061800003,1.942600012,1.75,1.48150003,1.238700032,1.019099951,0.8417000175,0.6525999904,0.5177000165,0.3950000107,0.2996999919,0.2486000061,0.1859000027,0.128700003,0.08579999954,0.0604000017,0.05279999971,0.05380000174,0.0577000007,0.06350000203,0.070600003,0.07800000161,0.08510000259,0.09120000154,0.0998999998,0.1059999987,0.1106000021,0.1164000034,0.1213999987,0.1254999936,0.128700003,0.1324999928,0.1360000074,0.1411000043,0.1464000046,0.1517000049,0.1553999931,0.1581999958,0.1595000029,0.1598999947,0.1611000001,0.164199993,0.1666000038,0.1684000045
A4,,3.380899906,2.40109992,2.413199902,3.105099916,,,,,,,3.0552001,2.414999962,2.129400015,1.965499997,1.743499994,1.482900023,1.218799949,1.042299986,0.8403000236,0.6510999799,0.5160999894,0.3930000067,0.2982000113,0.2478999943,0.1868000031,0.131400004,0.09000000358,0.06669999659,0.06140000001,0.06430000067,0.070600003,0.07909999788,0.08950000256,0.1002999991,0.1106999964,0.119599998,0.1324000061,0.1412999928,0.1480000019,0.1561000049,0.1634999961,0.1694000065,0.1741999984,0.1796000004,0.1845999956,0.1920000017,0.1997999996,0.2074999958,0.2127999961,0.2167000026,0.2185000032,0.2194000036,0.2212000042,0.2257000059,0.2292000055,0.2317000031
A5,,3.469399929,2.336699963,2.287899971,3.029000044,3.979700089,,,,,,2.974699974,2.35439992,2.047899961,1.845399976,1.627699971,1.376399994,1.131399989,0.9685000181,0.7821999788,0.605700016,0.4803000093,0.3664000034,0.2768999934,0.2314999998,0.1763000041,0.1269000024,0.09000000358,0.06979999691,0.0672999993,0.07180000097,0.07999999821,0.08990000188,0.1027999967,0.1160999984,0.1291999966,0.1394000053,0.1556999981,0.1662999988,0.1747000068,0.1840000004,0.1932999939,0.2006999999,0.206400007,0.2134000063,0.2194000036,0.2284000069,0.2388000041,0.2469999939,0.2542999983,0.2587000132,0.260800004,0.2615999877,0.2646000087,0.2698000073,0.273999989,0.2772000134
A6,,3.529000044,2.447799921,2.452899933,3.162100077,,,,,,,3.058000088,2.480799913,2.154999971,1.90320003,1.662400007,1.399799943,1.148800015,0.9858999848,0.7973999977,0.6187999845,0.4905999899,0.3741999865,0.2842999995,0.2379000038,0.1827999949,0.1333999932,0.09740000218,0.0781000033,0.07699999958,0.0829000026,0.09300000221,0.1049000025,0.1203000024,0.1363999993,0.1521999985,0.1643999964,0.1840000004,0.1967000067,0.2067999989,0.2179999948,0.2291000038,0.2380000055,0.2449000031,0.2533000112,0.2606000006,0.2712000012,0.2836999893,0.293599993,0.3025000095,0.3075000048,0.3100000024,0.3111999929,0.3147000074,0.3208999932,0.326000005,0.3296999931
A7,,3.42050004,2.33220005,2.332400084,3.009500027,,,,,,,2.925800085,2.346899986,2.008300066,1.765799999,1.532299995,1.285699964,1.056800008,0.9067000151,0.7347000241,0.5705000162,0.4526999891,0.345600009,0.2632000148,0.2206999958,0.1711000055,0.1268000007,0.09459999949,0.07800000161,0.07800000161,0.08439999819,0.09480000287,0.1072999984,0.1231999993,0.1396999955,0.1559000015,0.1685000062,0.1886000037,0.2016000003,0.2122000009,0.2238000035,0.2353000045,0.2443999946,0.2515000105,0.2603000104,0.2678000033,0.2786999941,0.2917000055,0.3018000126,0.3107999861,0.3158999979,0.3183999956,0.3195999861,0.323300004,0.3296000063,0.334800005,0.3384999931
B1,,,,,,,,,,,,,,,,3.798500061,3.091200113,2.138000011,2.1177001,1.762500048,1.416900039,1.138800025,0.891900003,0.7096999884,0.5990999937,0.4848000109,0.3982000053,0.3359000087,0.2996999919,0.2949999869,0.3055999875,0.3269999921,0.3555000126,0.3953000009,0.4392000139,0.4839000106,0.5189999938,0.5766000152,0.614199996,0.6455000043,0.6798999906,0.7139999866,0.7418000102,0.763800025,0.790899992,0.8144999743,0.8488000035,0.8906999826,0.9240000248,0.953700006,0.9692999721,0.977699995,0.9832000136,0.9955999851,1.016100049,1.033599973,1.046200037
B2,,,,,,,,,,,,,,,,3.763499975,3.011499882,2.108599901,2.112200022,1.802999973,1.481699944,1.213400006,0.9732999802,0.7929000258,0.6875,0.5953000188,0.5339999795,0.4925000072,0.472299993,0.4774000049,0.4977999926,0.5335000157,0.5798000097,0.6449000239,0.7163000107,0.7886000276,0.8465999961,0.9394999743,1.00059998,1.051499963,1.107200027,1.162400007,1.20720005,1.243299961,1.287700057,1.326599956,1.382300019,1.451400042,1.506399989,1.555799961,1.581699967,1.596300006,1.606600046,1.627099991,1.659199953,1.68659997,1.704900026
