Analyte,1B00,1B10,1B20,1B30,1B11,2B00,2B10,2B20,2B30,2B21,3B00,3B10,3B20,3B30,3B31
C4 Pyrene,19.421,51.231,26.708,29.584,63.44,30.983,78.452,30.498,22.172,33.064,24.795,103.851,0,0,0
Dibenzothiophene,1.837,20848.813,17.551,37.51,21091.836,10.244,16594.411,10.891,19.584,8.142,3.893,32951.402,2.055,11.533,10.807
"1,2-BNT",0,32.699,6.452,1,25.367,0,30.909,3.578,0.876,9.414,0,20.863,2.708,0.344,0.414
"2,3-BNT",0,109.615,6.412,1.19,103.636,0,101.002,3.731,0.6,17.463,0,70.051,4.205,0.264,0.491
Acridine ,0,6054.134,7.191,9.994,9284.028,0,6526.482,12.584,40.399,2.301,0,10354.807,31.645,33.591,57.871
Carbazole ,0,24316.497,88.178,107.914,36524.859,3.875,31014.547,23.989,58.291,27.666,2.689,31390.574,24.833,26.057,27.486
C2-Carbazole ,0.667,1374.054,56.336,42.328,1330.237,0,1087.146,191.297,129.214,225.778,2.009,1250.072,78.727,47.138,43.901
C1-Carbazole ,1.317,1392.969,362.223,554.747,2379.51,0.355,1722.462,1654.084,2563.865,576.633,14.257,1952.046,1795.806,1219.625,2518.472
{c}-Benzocarbazole ,0,1356.687,34.729,24.248,1272.014,0,1302.996,81.609,52.661,65.779,0,1195.051,74.603,21.644,25.719
11H-Benzocarbazole ,0.243,2173.332,27.396,21.527,2092.264,0.585,1982.026,136.613,72.913,117.513,0.18,1863.082,95.897,32.567,37.138
C3-Carbazole ,0,3.545,3.566,5.067,3.418,0,3.636,5.417,7.705,3.561,0.378,7.305,4.39,3.892,4.746
TSS,3,4.1,43,3.3,3,3,3.2,35.2,3,49.2,3,5.8,35.8,3,3
NH3-T,31.5,6840,166,151,6990,0.01,7730,29.6,46.7,25.5,0.01,7710,105,81.7,79.4
P-T,0.03,5.99,6.1,0.03,5.77,0.03,4.96,5.48,0.009,6.09,0.003,19.2,22.1,0.03,0.03
DOC,3.55,787,56.1,39.1,782,1,796,84,52.6,86,1.04,803,68.7,35.5,38.1
Aluminium,0.005,5,5,5,5,0.005,0.5,3.08,0.5,3.4,0.005,0.5,2.28,0.85,0.93
Arsenic,0,0.1,0.1,0.1,0.1,0,0.027,0.036,0.01,0.037,0,0.026,0.041,0.01,0.01
Calcium,0.05,50,50,50,50,0.05,5.7,8.3,11.5,8.7,0.05,5.8,6.7,11,10.2
Copper,0.001,0.5,0.5,0.5,0.5,0.001,0.05,0.05,0.05,0.05,0.001,0.05,0.05,0.05,0.05
Iron,0.01,10,10,10,10,0.01,1.1,2.9,1,3.1,0.01,1.9,2.7,1,1
Magnesium,0.001,5,5.3,5.7,5,0.005,1.07,4.37,5.72,4.6,0.005,0.83,3.39,4.8,4.74
Potassium,0.05,50,50,50,50,0.05,5,6.4,7.4,7,0.05,5,6.5,7.2,7
Sodium,0.05,208,2570,2590,213,0.05,183,2610,2710,2730,0.078,157,2860,2950,2840
Sulfur,0.5,500,500,500,500,0.5,219,237,328,243,0.5,225,257,315,306
Zinc,0.003,3,3,3,3,0.003,0.3,0.3,0.3,0.3,0.003,0.3,0.3,0.3,0.3
COD,10,4760,599,334,5270,10,5160,400,320,400,10,5280,370,200,538
